Code	 Mean_FD_Power	 Max_FD_Power	 Mean_FD_Jenkinson	 Max_FD_Jenkinson	 Num_above_0,2_Power	 Num_above_0,5_Power	 Num_above_0,2_Jenkinson	 Num_above_0,5_Jenkinson	 Mean_Relative_Displacement	 Max_Relative_Displacement	 Point_above_0,1mm	 Mean_Relative_Rotation	 Mean_Relative_MaxDisp	 Max_Relative_MaxDisp	 Max_Abs_MaxDisp	 Max_Relative_Roll	 Max_Relative_Pitch	 Max_Relative_Yaw	 Max_Relative_dS-I	 Max_Relative_dL-R	 Max_Relative_dP-A	Mean_Relative_Roll	 Mean_Relative_Pitch	 Mean_Relative_Yaw	 Mean_Relative_dS-I	 Mean_Relative_dL-R	 Mean_Relative_dP-A	 Max_Abs_Roll	 Max_Abs_Pitch	 Max_Abs_Yaw	 Max_Abs_dS-I	 Max_Abs_dL-R	 Max_Abs_dP-A	Mean_Abs_Roll	 Mean_Abs_Pitch	 Mean_Abs_Yaw	 Mean_Abs_dS-I	 Mean_Abs_dL-R	 Mean_Abs_dP-A
312	0.086	0.888	0.042	0.4	10	5	5	0	0.024	0.326	6	0.01	0.001	0.682	1.244	0.1346	0.4025	0.1371	0.2992	0.0564	0.1596	0.00014	0.001034	0.000296	-0.000654	0.000046	-0.001197	0.0372	0.327	0.1125	0.5608	0.0217	0.1908	-0.008322	-0.041936	-0.001788	0.062019	-0.003968	-0.019427
313	0.058	0.201	0.03	0.101	1	0	0	0	0.014	0.069	0	0.007	0	0.124	0.493	0.0463	0.0657	0.0478	0.0872	0.0275	0.0666	0.000107	-0.000342	0.000949	-0.00068	0.000752	-0.000082	0.0576	0.0236	0.0245	0.1736	0.0247	0.0553	-0.020686	-0.081268	-0.037687	-0.000843	-0.019056	0.016561
314	0.154	1.882	0.083	1.149	37	6	12	2	0.048	0.922	11	0.013	0	0.714	1.283	0.1065	0.4377	0.096	1.2699	0.0484	0.2736	0.001006	-0.000638	0.00066	-0.001575	-0.00003	0.00078	0.1354	0.5485	0.1029	1.0922	0.0944	0.2037	-0.021782	0.095734	-0.008402	0.015145	-0.003843	0.045591
315	0.059	0.623	0.034	0.469	5	2	2	0	0.019	0.464	3	0.006	-0.003	0.363	1.532	0.0394	0.1147	0.0639	0.478	0.0244	0.2702	0.002284	0.00326	0.001132	0.005086	0.000429	-0.002047	0.2395	0.2066	0.036	0.5472	0.0532	0.3128	-0.0418	-0.134787	-0.129896	-0.045912	-0.047985	0.057033
316	0.249	0.609	0.146	0.36	132	6	42	0	0.09	0.21	89	0.019	0	0.392	0.557	0.0229	0.1671	0.0756	0.2374	0.041	0.2725	-0.000977	0.001725	-0.001078	0.000027	-0.000722	-0.0011	0.1726	0.2161	0.1771	0.145	0.1271	0.0362	0.020315	-0.02335	0.007157	0.028426	0.011024	-0.08432
317	0.067	0.485	0.034	0.187	3	0	0	0	0.017	0.178	2	0.006	-0.009	0.225	1.998	0.0584	0.053	0.0758	0.1277	0.0849	0.1354	-0.002608	0.001199	-0.000826	-0.003696	-0.003446	-0.002044	0.6259	0.055	0.254	0.6856	0.5924	0.3654	0.113583	-0.065156	0.030104	0.165176	0.058599	0.067765
319	0.063	0.353	0.033	0.231	5	0	1	0	0.014	0.104	1	0.007	-0.005	0.179	2.078	0.0563	0.1035	0.0572	0.2547	0.0419	0.0836	-0.003194	0.006242	-0.000848	-0.003288	-0.002416	-0.002174	0.3779	0.3304	0.1508	0.3671	0.3752	0.2825	0.011524	-0.12503	0.020649	-0.071456	0.055161	0.024478
320	0.098	0.987	0.051	0.471	11	7	7	0	0.027	0.31	7	0.009	-0.006	0.431	1.887	0.1059	0.3266	0.0924	0.4378	0.0932	0.2727	-0.001317	0.001101	0.000459	0.008821	0.000825	0.00072	0.29	0.2982	0.1828	0.4236	0.2727	0.1571	0.054386	-0.013558	0.029965	-0.155969	0.053335	-0.015512
322	0.098	0.403	0.052	0.293	14	0	2	0	0.019	0.105	3	0.013	-0.015	0.181	4.026	0.0769	0.141	0.058	0.0995	0.0518	0.2567	-0.001001	0.016268	0.001302	-0.000979	0.000428	-0.001253	0.0235	0.7075	0.137	0.1216	0.0379	0.2226	-0.146061	-0.353799	-0.117631	-0.022662	-0.026435	0.05753
323	0.098	0.584	0.053	0.264	17	2	5	0	0.028	0.3	8	0.01	0.002	0.324	0.754	0.0643	0.2256	0.062	0.3042	0.0456	0.1657	0.00051	-0.00098	-0.00008	0.001896	0.000952	-0.000308	0.0404	0.24	0.0922	0.6488	0.1149	0.1155	-0.017176	0.047047	0.011571	0.075762	-0.006358	0.002139
324	0.098	0.38	0.052	0.222	12	0	2	0	0.015	0.061	0	0.014	-0.005	0.237	1.374	0.0698	0.1689	0.0504	0.0745	0.0291	0.1134	-0.002849	0.001741	-0.001792	-0.001697	-0.000738	0.000082	0.572	0.0972	0.2229	0.2537	0.2013	0.0337	0.150737	-0.106793	0.03931	0.034553	0.050204	-0.031026
325	0.11	0.335	0.063	0.204	20	0	2	0	0.024	0.091	0	0.01	-0.001	0.264	0.863	0.0425	0.1559	0.044	0.1282	0.0346	0.106	-0.00005	0.001528	-0.001428	0.000886	-0.000641	-0.001474	0.1165	0.3285	0.1566	0.0376	0.0903	0.1071	0.013303	0.001708	-0.016357	-0.094853	-0.002245	-0.011744
326	0.243	3.59	0.136	1.906	43	16	25	11	0.094	2.185	22	0.022	0.004	2.945	6.31	0.224	0.7779	0.3278	2.0839	0.346	0.8776	0.000474	0.00137	-0.003029	-0.006562	-0.002204	-0.00152	0.0882	0.1063	0.2395	2.9355	0.3401	1.022	-0.192132	-0.466146	-0.172482	-0.079151	-0.12334	0.053309
327	0.15	0.66	0.094	0.389	29	2	4	0	0.022	0.116	2	0.013	-0.001	0.236	0.698	0.0491	0.1413	0.0411	0.2205	0.0357	0.3067	-0.000867	0.000342	0.00054	-0.00195	-0.000441	-0.001328	0.1302	0.0195	0.073	0.2646	0.0498	0.2465	0.007224	-0.098526	-0.004675	0.009483	-0.024239	0.024942
328	0.083	0.353	0.044	0.241	14	0	3	0	0.013	0.058	0	0.012	0.002	0.304	0.995	0.0872	0.2162	0.0711	0.0839	0.1113	0.0765	-0.002143	0.000048	-0.000644	-0.001011	-0.001115	0.000184	0.1775	0.4628	0.1072	0.0839	0.1175	0.0038	-0.001759	0.131629	-0.025438	-0.058917	-0.037654	-0.047884
329	0.067	0.259	0.036	0.173	4	0	0	0	0.014	0.055	0	0.006	-0.003	0.197	0.927	0.1237	0.0689	0.0409	0.061	0.0698	0.1001	-0.000806	0.001455	0.000382	-0.00061	-0.000295	-0.000686	0.1403	0.0509	0.0567	0.2294	0.0904	0.2028	0.022122	-0.059213	-0.011171	0.001309	0.007082	0.035037
330	0.154	0.968	0.082	0.549	39	6	10	1	0.035	0.336	9	0.016	-0.003	0.824	1.93	0.061	0.339	0.09	0.3495	0.1219	0.4252	-0.000599	0.000449	-0.000746	-0.003481	0.000093	-0.003343	0.1214	0.093	0.2077	0.9941	0.1591	0.4611	0.02163	-0.310154	0.002688	0.385714	0.003532	0.054117
331	0.21	0.962	0.128	0.745	71	11	26	4	0.038	0.244	11	0.016	-0.005	0.309	2.167	0.1685	0.2558	0.1167	0.26	0.0723	0.7206	-0.004148	0.003619	-0.003348	0.000442	-0.002598	-0.000916	0.6202	0.4121	0.5316	0.6143	0.3915	0.3566	0.072099	-0.118097	0.087961	0.167218	0.069666	0.051298
