951.29,1259.6,1046.4,1083.7,1163.1,1778.7,1167.6,1347.8,1325.1,1164.6,1352.4,1678.3,1713,2700,1859.4,746.63,1328.3,1153.1,1462.7,1694.3,1254.8,798.1,1235.9,1824.5,1922.7,812.01,1914.6,1586.8,1799.4,2050.6,860.32,1102.7,1038.8,1171.9,1918.9,2005.5,1330.3,1501.8,1714,1949.6,2117.2,1249.2,2252,888.81,1427.7,1441,2288.6,2601.5,1140.3,2379.7,1891.4,1452.8,1265.1,1536.9,1755,1681.7,2251.7,1329.6,2781.6,1236.4,3213.3,1488,2711.9,1498.2,1851,1691.4,2322.2,1623.2,1298.6,1609.4,2534.4,1800.2,1433.5,1344.6,902.24,1274.4,861.18,1912.8,1754.9,947.57,1275
2.7789,2.9563,2.7318,3.0432,2.7093,3.1307,2.7795,2.9756,3.2066,3.2997,2.8874,3.1163,3.2431,3.2486,3.4682,2.4124,3.1819,3.3218,3.1645,3.452,2.617,2.6017,3.3609,3.513,2.5026,2.9696,3.1127,2.9793,2.8901,2.9064,2.9382,3.0168,2.9503,2.8884,2.8375,2.9429,3.1081,2.8086,3.2228,3.6344,2.9552,2.8985,3.405,3.1678,3.5279,3.3193,3.3841,3.5342,3.0582,3.7487,3.4686,2.189,3.0176,3.1178,3.2496,3.5204,3.284,3.0875,2.9701,3.0505,3.2506,3.1084,2.7446,3.157,3.1779,2.9414,2.9642,3.3398,2.8371,2.7512,2.9946,2.727,2.8917,3.3141,2.8219,2.7093,2.5863,3.1358,2.9319,2.6824,3.0723
1416.9,1686.5,1418.9,1488.7,1675.1,2443.4,1579.4,1640.9,1944.9,1690.3,1982.6,2356.3,2156.3,4002.8,2443.1,1193.7,2153.7,1615.2,2288.7,2182,1750.3,1225.7,1669.3,2573.9,2868,1099.1,2382.6,2232.7,2373.1,2848.2,1188.6,1349.9,1464.9,1642.5,2694.7,2996.4,1720,2270.5,2343.3,2708.8,2924.5,1735.1,2980.3,1243.7,1848.9,2120.1,3472.4,3410.6,1606.4,3595,2545.2,2141.9,1840.7,1999.5,2476.5,2380.9,3417.5,1687.6,3847.4,1975.1,4244.6,1916.8,4058.8,2209.8,2677.3,2069.3,3145.3,2155.9,1873,2493.8,3227.9,2676.5,2177,2119.4,1348.8,1920.1,1395.7,2767.7,1976,1242.4,1784
20,20,28,6,48,30,30,12,8,8,10,14,0,0,16,2,28,6,12,10,26,18,16,18,10,16,2,30,10,8,24,6,18,8,18,8,10,16,14,28,6,4,12,16,18,14,4,4,0,2,4,6,20,6,12,16,6,8,4,14,26,12,16,2,4,4,16,4,20,34,20,18,6,30,6,24,16,8,6,40,8
2,4,0,0,0,0,0,8,0,0,14,22,14,4,12,2,0,4,16,4,10,2,0,4,2,26,6,8,6,16,4,8,0,2,4,8,0,4,8,4,6,0,4,12,8,0,4,4,4,8,20,10,14,14,6,6,2,20,22,2,6,20,8,10,6,6,4,14,6,10,0,0,0,2,4,2,4,2,0,4,2
8254.5,8997.4,9734.6,9764,8508.2,16421,9915.4,10691,11636,10173,13690,16807,11069,26354,14577,7274.2,13025,11638,15949,16154,10690,5089.3,12840,12597,17792,6802.8,13284,10725,15628,20343,8332.4,8499.2,7494.2,8594.8,15708,18560,7706.7,14383,14162,16676,22778,11399,25425,8082.9,14410,12910,16234,21745,9256.1,22777,14490,15786,12388,13268,15974,14037,22791,9612.9,19369,15615,18526,12200,27285,18501,19210,14204,19921,12540,10428,14579,25532,16983,12620,10834,8674.2,14602,9528.9,18272,14228,8995.5,11244
132.75,107.19,94.157,144.93,128.42,130.32,119.79,115.7,114.43,106.6,106.37,84.376,84.565,94.611,101.81,87.701,127.65,124.08,83.062,114.34,100.2,129.9,103.06,132.57,120.79,130.35,109.65,135.54,142.85,123.47,101,125.22,108.55,151.7,123.84,139.18,131.2,122.45,110.5,93.817,118.57,131.12,125.5,111.24,104.85,111.35,112.22,111.27,131.11,139.94,108.26,86.434,119.07,84.939,138.59,87.056,99.46,129.43,86.706,100.14,136.96,124.05,106.68,82.907,101.79,105.75,110.46,104.53,121.9,118.99,122.01,126.82,108.27,118.89,136.26,101.36,112.21,121.97,153.75,136.28,128.35
1125.6,2092.7,1377.8,1660.8,1980.8,2207.2,971.27,1568,1851.2,1744.5,2299.8,1898.4,2311.5,2494.8,1747,1113.8,2254.3,1484.9,2093.7,1768.3,975.32,2219.6,1252.2,1689.3,1916.7,1777.7,2143.8,2233.9,1348.5,2104.9,1762.6,1527.4,1457.9,1600.8,1459.4,2096,1406.5,1284.1,1519.4,1559.1,2068.4,1524.5,2210.3,1402.3,1401.2,2126.1,1743.4,2094.6,1414.9,2166.8,2356,2218.7,2664.6,2208.2,2088.8,2425.7,1898.1,1275.1,2060.4,1711.6,2452.7,2037.3,2544,1917.8,2250.7,2719.8,2195.9,1901.6,1871.4,1373.7,1462.1,1999.4,1608.1,1495,2026.5,1937,1631,2029.9,1318.8,2055.8,2430.9
8,54,28,18,38,0,10,34,84,56,12,32,12,24,34,48,10,48,30,20,18,20,18,40,4,46,56,26,20,26,22,30,10,16,26,2,0,30,18,24,34,42,42,32,54,44,22,64,46,34,36,42,54,24,34,74,36,38,56,36,50,38,38,34,36,42,44,22,20,26,30,6,34,12,34,26,18,36,12,22,4
14,20,6,28,16,12,32,22,16,16,2,2,10,12,20,28,26,30,4,10,16,12,8,4,14,32,12,16,36,4,8,10,42,14,12,18,8,18,14,28,22,30,18,30,6,14,12,6,2,6,12,4,8,2,12,12,2,16,24,6,6,6,2,6,4,2,4,10,18,22,18,18,40,24,38,2,16,30,12,8,24
